date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,544120,3830,135052,124111,544120,29580,219319,212928,544120,96780,263154,257692,544120,96780,269704,263896
2020-12-09,1000000,3830,140442,126293,1000000,29580,229944,217947,1000000,96780,277686,264172,1000000,96780,295085,273105
2020-12-10,1000000,3830,145608,128667,1000000,29580,239510,222821,1000000,96780,289333,269507,1000000,96780,317828,284005
2020-12-11,1190000,3830,152171,131384,1190000,29580,251618,227543,1190000,96780,302538,272219,1190000,96780,352660,314696
2020-12-12,1190000,3830,156166,134030,1190000,29580,259135,233409,1190000,96780,307375,277593,1190000,96780,364569,328437
2020-12-13,1190000,3830,158664,136752,1190000,29580,263343,238143,1190000,96780,312438,283219,1190000,96780,371542,336483
2020-12-14,1190000,3830,158664,136752,1190000,29580,263343,238143,1190000,96780,312438,283219,1190000,96780,371542,336483
2020-12-15,1190000,3830,158664,136752,1190000,29580,263343,238143,1190000,96780,312438,283219,1190000,96780,371542,336483
2020-12-16,1190000,3830,161352,139540,1190000,29580,268048,243436,1190000,96780,317814,289192,1190000,96780,372165,337202
2020-12-17,1190000,3830,163297,141694,1190000,29580,270841,246579,1190000,96780,321221,292978,1190000,96780,374022,339344
2020-12-18,1190000,3830,165493,144135,1190000,29580,274426,250611,1190000,96780,325291,297499,1190000,96780,378626,344657
2020-12-19,1190000,3830,167664,146547,1190000,29580,277787,254393,1190000,96780,326122,298423,1190000,96780,383589,350383
2020-12-20,1190000,3830,169625,148724,1190000,29580,281258,258185,1190000,96780,329355,302016,1190000,96780,387129,354468
2020-12-21,1190000,3830,169625,148724,1190000,29580,281258,258185,1190000,96780,329355,302016,1190000,96780,387129,354468
